शीर्षहरूलाई किन छुँदैन भ्रष्टाचारले ?,https://ekantipur.com/opinion/2023/07/14/168929440504168016.html,"वर्तमान सरकारले विगत छ महिनामा के गर्‍यो होला भनेर हेर्दा एउटा दृश्य झट्ट दिमागमा आउँछ : प्रधानमन्त्रीदेखि मन्त्रीहरूसम्म अधिकांशलाई भ्याई–नभ्याई भाषण गर्नुपरेको, रिबन काट्ने अवसर कतै नछाडेको र मातहतका कर्मचारीहरूलाई निर्देशन मात्र दिइरहेको ।",https://assets-cdn-api.kantipurdaily.com/thumb.php?src=https://assets-cdn.kantipurdaily.com/uploads/source/news/kantipur/2023/ped/sudheer-sharma-1472023034107-1000x0.jpg&w=300&h=0
नयाँ विश्वविद्यालय धेरै भए,https://ekantipur.com/opinion/2023/07/14/168929420187644440.html,रैथाने विश्वविद्यालय खोल्नुपर्ने पक्षमा सामाजिक सञ्जालमा आएका केही बौद्धिकका विचार ओझेल नपर्दै बागमतीमा सार्वजनिक विश्वविद्यालय खोल्ने अर्को उद्घोष आयो । यसभन्दा अघि पनि प्रदेशपिच्छे अनगिन्ती विश्वविद्यालय खोल्ने घोषणा हुँदै आएको पृष्ठभूमिमा केही प्रश्न खडा भएका छन् ।,https://assets-cdn-api.kantipurdaily.com/thumb.php?src=https://assets-cdn.kantipurdaily.com/uploads/source/news/kantipur/2023/ped/vishnu-karki-1472023034120-1000x0.jpg&w=300&h=0
शासकीय स्वरूपको बालेन मोडल र लोकतन्त्र,https://ekantipur.com/opinion/2023/07/14/16892947175476550.html,"ठूला भनिने सबै पार्टीको घमन्ड तोड्दै, काठमाडौं महानगरपालिकाको मेयरमा भारी मतान्तरले विजयी भएका बालेन्द्र शाह (बालेन) ले परिवर्तनको घनघोर बिगुल फुके । उनको अप्रत्याशित जितपछि राजनीतिलाई फोहोरी खेल ठान्ने र राजनीति सुधारिनुपर्ने विश्वासका साथ अरू युवा पनि निर्वाचनमार्फत राष्ट्रिय राजनीतिमा मिसिए ।",https://assets-cdn-api.kantipurdaily.com/thumb.php?src=https://assets-cdn.kantipurdaily.com/uploads/source/news/kantipur/2023/ped/loktantra-1472023034054-1000x0.jpg&w=300&h=0
८ लाख गाईभैंसी संक्रमित हुँदा बहसको मुद्दा किन बन्दैन ?,https://ekantipur.com/opinion/2023/07/14/168929407078435253.html,"यो समय सरकारको अर्जुनदृष्टि कहाँ छ ? प्रमुख राजनीतिक दलहरूको चासो केमा छ ? संसद् कुन विषयमा बहस गर्दै छ ? सरकार, दल र नेताका आ–आफ्ना प्राथमिकता होलान् । तर ठीक यति बेला देशको किसानी समुदाय गाईभैंसीमा फैलिएको ‘लम्पी स्किन’ को महामारीबाट प्रताडित छ ।",https://assets-cdn-api.kantipurdaily.com/thumb.php?src=https://assets-cdn.kantipurdaily.com/uploads/source/news/kantipur/2023/miscellaneous/lampi-skin-1372023022850-1000x0.jpg&w=300&h=0
प्रकाश प्रदूषणको चिन्ता,https://ekantipur.com/opinion/2023/07/13/168921158427247508.html,अप्रिल १९०८ मा नेपालका तत्कालीन प्रधानमन्त्री चन्द्रशमशेर राणा बेलायतको भ्रमणमा निस्किए । उनी त्यहाँ करिब १० हप्ता बिताएर नेपाल फर्किए ।,https://assets-cdn-api.kantipurdaily.com/thumb.php?src=https://assets-cdn.kantipurdaily.com/uploads/source/news/kantipur/2023/ped/uttambabu-1372023032858-1000x0.jpg&w=300&h=0
सपनाहरूको छायाछवि,https://ekantipur.com/opinion/2023/07/13/16892119518126951.html,"कुरा सुरु हुन्छ, असार दोस्रो हप्तादेखि । काठमाडौंबाहिरको ताजा खबर के होला ? मान्छेहरूका मनभित्र चाकाचुली खेलिबस्ने पछिल्ला प्रश्नहरू के होलान् ? जब मनमा यस्ता अनेकौं प्रश्न खेल्न थाले, हामी केही साथीले उत्तर खोज्न एउटा विमर्शयात्रा गर्ने निर्णय गर्‍यौं ।",https://assets-cdn-api.kantipurdaily.com/thumb.php?src=https://assets-cdn.kantipurdaily.com/uploads/source/news/kantipur/2023/ped/keshab-dahal-1372023033211-1000x0.jpg&w=300&h=0
बाढीलाई यसरी पनि बुझ्ने कि ?,https://ekantipur.com/opinion/2023/07/13/168921215338828085.html,"वर्षायामको सुरुआतसँगै केही वर्षयता हामी भारी वर्षा, बाढी, पहिरो लगायतका प्रकोपहरूको सामना गरिरहेका छौं । विभिन्न सरकारी तथा गैरसरकारी संस्थाहरूका प्रतिवेदनमा उल्लेख भएका तथ्यांक हेर्दा नेपालमा हरेक वर्ष औसत १७० देखि २०० जनासम्म मानिसको मृत्यु बाढी र बाढीजन्य घटनाहरूका कारण हुने गरेको छ ।",https://assets-cdn-api.kantipurdaily.com/thumb.php?src=https://assets-cdn.kantipurdaily.com/uploads/source/news/kantipur/2023/ped/jeevanmani-1372023033527-1000x0.jpg&w=300&h=0
हावामा हराइरहेका हवाई सुरक्षाका प्रश्नहरू,https://ekantipur.com/opinion/2023/07/13/168921120900816953.html,नेपालले फेरि अर्को हवाई दुर्घटनाको दुःख सहनुपरेको छ । पर्वतीय उडान सकेर फर्किंदै गरेका ५ मेक्सिकन नागरिक सवार मनाङ एयरको हेलिकोप्टर मंगलबार सोलुखुम्बुको लिखुपिके–५ लामजुरानजिक दुर्घटना हुँदा चालकसहित ६ जनाको घटनास्थलमै मृत्यु भएको छ ।,https://assets-cdn-api.kantipurdaily.com/thumb.php?src=https://assets-cdn.kantipurdaily.com/uploads/source/news/kantipur/2023/third-party/manang-air-1172023105016-1000x0.jpg&w=300&h=0
धरमर राज्यका लथालिंग संस्था !,https://ekantipur.com/opinion/2023/07/12/168912804504976662.html,प्रधानमन्त्री पुष्पकमल दाहालले आफन्तवादलाई प्रवर्धन गर्ने गरेको कुरा आधारहीन लाग्दैन । लामो कालसम्म भूमिगत राजनीति गरेका व्यक्तिहरूमा आफ्नो परिवार एवं आसेपासेभन्दा बाहिरका व्यक्तिहरूलाई पत्याउनै नसक्ने आचरण विकसित भएको हुन्छ ।,https://assets-cdn-api.kantipurdaily.com/thumb.php?src=https://assets-cdn.kantipurdaily.com/uploads/source/news/kantipur/2023/ped/ck-lal-1272023041212-1000x0.jpg&w=300&h=0
राज्य र गरिबी न्यूनीकरणको भ्रम,https://ekantipur.com/opinion/2023/07/12/168912749671022363.html,राज्यले सञ्चालन गरेका गरिबलक्षित धेरै कार्यक्रमको मूल्यांकन प्रतिवेदन बनेको देखिँदैन । त्यस सम्बन्धमा खासै सोधीखोजी पनि हुँदैन । गरिबहरूको प्रश्न सोध्ने हैसियत बन्न सकेकै छैन ।,https://assets-cdn-api.kantipurdaily.com/thumb.php?src=https://assets-cdn.kantipurdaily.com/uploads/source/news/kantipur/2023/ped/numanath-1272023040432-1000x0.jpg&w=300&h=0
"बजेट ल्याउने मिति फेरियो, खर्च गर्ने थिति फेरिएन",https://ekantipur.com/opinion/2023/07/12/168912672837166306.html,"चालु आर्थिक वर्षका लागि विनियोजन भएको बजेटको ७७ प्रतिशत मात्र खर्च भएको छ, अझ पुँजीगत खर्च त ५५ प्रतिशतमा सीमित छ । यो सोमबारसम्मको हिसाब हो, जुन दिनदेखि यो आर्थिक वर्षको सरकारी खर्च खाता बन्द भएको मानिएको छ ।",https://assets-cdn-api.kantipurdaily.com/thumb.php?src=https://assets-cdn.kantipurdaily.com/uploads/source/news/kantipur/2023/third-party/budget-1272023035139-1000x0.jpg&w=300&h=0
